collection;nom_excel;titre_page;nom_carte;source;a_verifier
Merveilles du monde;Grande Pyramide de Gizeh;Pyramide de Khéops;Grande Pyramide de Gizeh;excel-brut;X
Merveilles du monde;Jardins suspendus de Babylone;Jardins suspendus de Babylone;Jardins suspendus de Babylone;wikipedia;
Merveilles du monde;Statue de Zeus a Olympie;Statue chryséléphantine de Zeus à Olympie;Statue de Zeus à Olympie;accents-restaures;
Merveilles du monde;Temple d'Artemis a Ephese;Temple d'Artémis à Éphèse;Temple d'Artémis à Éphèse;wikipedia;
Merveilles du monde;Mausolee d'Halicarnasse;Mausolée d'Halicarnasse;Mausolée d'Halicarnasse;wikipedia;
Merveilles du monde;Colosse de Rhodes;Colosse de Rhodes;Colosse de Rhodes;wikipedia;
Merveilles du monde;Phare d'Alexandrie;Phare d'Alexandrie;Phare d'Alexandrie;wikipedia;
Merveilles du monde;Grande Muraille de Chine;Grande Muraille;Grande Muraille de Chine;excel-brut;X
Merveilles du monde;Petra;Pétra;Pétra;wikipedia;
Merveilles du monde;Christ Redempteur;Statue du Christ Rédempteur;Christ rédempteur;wikipedia;
Merveilles du monde;Machu Picchu;Machu Picchu;Machu Picchu;wikipedia;
Merveilles du monde;Chichen Itza;Chichén Itzá;Chichén Itzá;wikipedia;
Merveilles du monde;Colisee de Rome;Colisée;Colisée de Rome;accents-restaures;
Merveilles du monde;Taj Mahal;Taj Mahal;Taj Mahal;wikipedia;
Pilotes F1 champions du monde;Giuseppe Farina;Giuseppe Farina;Giuseppe Farina;wikipedia;
Pilotes F1 champions du monde;Juan Manuel Fangio;Juan Manuel Fangio;Juan Manuel Fangio;wikipedia;
Pilotes F1 champions du monde;Alberto Ascari;Alberto Ascari;Alberto Ascari;wikipedia;
Pilotes F1 champions du monde;Mike Hawthorn;Mike Hawthorn;Mike Hawthorn;wikipedia;
Pilotes F1 champions du monde;Jack Brabham;Jack Brabham;Jack Brabham;wikipedia;
Pilotes F1 champions du monde;Phil Hill;Phil Hill;Phil Hill;wikipedia;
Pilotes F1 champions du monde;Graham Hill;Graham Hill;Graham Hill;wikipedia;
Pilotes F1 champions du monde;Jim Clark;Jim Clark;Jim Clark;wikipedia;
Pilotes F1 champions du monde;John Surtees;John Surtees;John Surtees;wikipedia;
Pilotes F1 champions du monde;Denny Hulme;Denny Hulme;Denny Hulme;wikipedia;
Pilotes F1 champions du monde;Jackie Stewart;Jackie Stewart;Jackie Stewart;wikipedia;
Pilotes F1 champions du monde;Jochen Rindt;Jochen Rindt;Jochen Rindt;wikipedia;
Pilotes F1 champions du monde;Emerson Fittipaldi;Emerson Fittipaldi;Emerson Fittipaldi;wikipedia;
Pilotes F1 champions du monde;Niki Lauda;Niki Lauda;Niki Lauda;wikipedia;
Pilotes F1 champions du monde;James Hunt;James Hunt;James Hunt;wikipedia;
Pilotes F1 champions du monde;Mario Andretti;Mario Andretti;Mario Andretti;wikipedia;
Pilotes F1 champions du monde;Jody Scheckter;Jody Scheckter;Jody Scheckter;wikipedia;
Pilotes F1 champions du monde;Alan Jones;Alan Jones;Alan Jones;wikipedia;
Pilotes F1 champions du monde;Nelson Piquet;Nelson Piquet;Nelson Piquet;wikipedia;
Pilotes F1 champions du monde;Keke Rosberg;Keke Rosberg;Keke Rosberg;wikipedia;
Pilotes F1 champions du monde;Alain Prost;Alain Prost;Alain Prost;wikipedia;
Pilotes F1 champions du monde;Ayrton Senna;Ayrton Senna;Ayrton Senna;wikipedia;
Pilotes F1 champions du monde;Nigel Mansell;Nigel Mansell;Nigel Mansell;wikipedia;
Pilotes F1 champions du monde;Michael Schumacher;Michael Schumacher;Michael Schumacher;wikipedia;
Pilotes F1 champions du monde;Damon Hill;Damon Hill;Damon Hill;wikipedia;
Pilotes F1 champions du monde;Jacques Villeneuve;Jacques Villeneuve;Jacques Villeneuve;wikipedia;
Pilotes F1 champions du monde;Mika Hakkinen;Mika Häkkinen;Mika Häkkinen;wikipedia;
Pilotes F1 champions du monde;Fernando Alonso;Fernando Alonso;Fernando Alonso;wikipedia;
Pilotes F1 champions du monde;Kimi Raikkonen;Kimi Räikkönen;Kimi Räikkönen;wikipedia;
Pilotes F1 champions du monde;Lewis Hamilton;Lewis Hamilton;Lewis Hamilton;wikipedia;
Pilotes F1 champions du monde;Jenson Button;Jenson Button;Jenson Button;wikipedia;
Pilotes F1 champions du monde;Sebastian Vettel;Sebastian Vettel;Sebastian Vettel;wikipedia;
Pilotes F1 champions du monde;Nico Rosberg;Nico Rosberg;Nico Rosberg;wikipedia;
Pilotes F1 champions du monde;Max Verstappen;Max Verstappen;Max Verstappen;wikipedia;
Pilotes F1 champions du monde;Lando Norris;Lando Norris;Lando Norris;wikipedia;
Elements chimiques;Hydrogene;Hydrogène;Hydrogène;wikipedia;
Elements chimiques;Helium;Hélium;Hélium;wikipedia;
Elements chimiques;Lithium;Lithium;Lithium;wikipedia;
Elements chimiques;Beryllium;Béryllium;Béryllium;wikipedia;
Elements chimiques;Bore;Bore;Bore;wikipedia;
Elements chimiques;Carbone;Carbone;Carbone;wikipedia;
Elements chimiques;Azote;Azote;Azote;wikipedia;
Elements chimiques;Oxygene;Oxygène;Oxygène;wikipedia;
Elements chimiques;Fluor;Fluor;Fluor;wikipedia;
Elements chimiques;Neon;Néon;Néon;wikipedia;
Elements chimiques;Sodium;Sodium;Sodium;wikipedia;
Elements chimiques;Magnesium;Magnésium;Magnésium;wikipedia;
Elements chimiques;Aluminium;Aluminium;Aluminium;wikipedia;
Elements chimiques;Silicium;Silicium;Silicium;wikipedia;
Elements chimiques;Phosphore;Phosphore;Phosphore;wikipedia;
Elements chimiques;Soufre;Soufre;Soufre;wikipedia;
Elements chimiques;Chlore;Chlore;Chlore;wikipedia;
Elements chimiques;Argon;Argon;Argon;wikipedia;
Elements chimiques;Potassium;Potassium;Potassium;wikipedia;
Elements chimiques;Calcium;Calcium;Calcium;wikipedia;
Elements chimiques;Scandium;Scandium;Scandium;wikipedia;
Elements chimiques;Titane;Titane;Titane;wikipedia;
Elements chimiques;Vanadium;Vanadium;Vanadium;wikipedia;
Elements chimiques;Chrome;Chrome;Chrome;wikipedia;
